ID,Nom,Description,Prix,Stock,Catégorie
1,One Piece - Tome 1,Le premier tome des aventures de Luffy.,8€,50,Manga Shonen
2,Dragon Ball Z - Tome 3,Goku contre Vegeta !,9€,30,Manga Shonen
3,Demon Slayer - Tome 5,Tanjiro affronte de nouveaux ennemis.,10€,40,Manga Shonen
4,Sailor Moon - Tome 2,Les aventures de Sailor Moon.,8€,20,Manga Shojo
5,Attaque des Titans - Tome 10,Eren découvre la vérité.,11€,15,Manga Seinen
6,Figurine Luffy,Superbe figurine de Luffy en Gear 5.,25€,10,Figurines
7,porte-clé shadow,Eminescence of shadow,15€,200,Goodies
8,Figurine Geto ,jujutsu kaisen,190€,80,Figurines
9,Natsu,FaryTale,120€,10,Figurines
10,Megumin,Porte-clés,15€,200,Goodies
11,Levi Ackerman,Figurine 30cm en plein combat,150€,1,Figurines
12,Alive Tome 1,Premier tome de Alive the last evolution,10€,2,Manga Shonen
13,Zaraki Kenpachi,Figurine de Zaraki Kenpachi Bleach de 20cm,66€,2,Figurines
14,Sweat one piece de Thibault,Super sweat de one piece,200€,1,Goodies
